Symbol,Series,Date,PrevClose,Open,High,Low,Last,Close,Average,Volume,Turnover,NoOfTrades,Deliverable,DeliveryPercent
LT,EQ,2024-11-18,3526.25,3521.1,3568.3,3510.85,3538.05,3542.15,3539.95,1233217,4365529595.7,119934,786814.0,63.8
LT,EQ,2024-11-19,3542.15,3559.9,3607.0,3495.0,3511.20,3505.9,3561.83,1826460,6505545221.1,138984,1217157.0,66.64
LT,EQ,2024-11-21,3505.90,3530.0,3530.55,3452.45,3490.05,3483.5,3481.48,1510581,5259063798.6,172452,748315.0,49.54
LT,EQ,2024-11-22,3483.50,3500.0,3613.5,3473.1,3605.00,3603.5,3558.59,2534018,9017542904.75,148535,1622199.0,64.02
LT,EQ,2024-11-25,3603.50,3660.0,3761.0,3654.0,3757.00,3753.0,3741.78,4753829,17787793454.4,247339,3083411.0,64.86
LT,EQ,2024-11-26,3753.00,3754.9,3754.9,3690.0,3700.00,3702.6,3712.45,1141534,4237885362.35,104955,611066.0,53.53
LT,EQ,2024-11-27,3702.60,3704.0,3720.0,3685.0,3697.00,3698.7,3701.27,971816,3596957750.15,77237,484837.0,49.89
LT,EQ,2024-11-28,3698.70,3700.0,3720.5,3648.0,3667.00,3666.05,3677.58,2124283,7812227210.7,179728,1286542.0,60.56
LT,EQ,2024-11-29,3666.05,3635.1,3750.0,3635.1,3722.00,3724.8,3722.73,2094305,7796535083.2,143088,1173010.0,56.01
LT,EQ,2024-12-02,3724.80,3706.85,3717.85,3672.9,3716.00,3704.05,3695.08,1158369,4280265838.15,104160,687750.0,59.37
LT,EQ,2024-12-03,3704.05,3721.0,3798.85,3701.5,3773.00,3787.05,3761.27,3252670,12234160548.85,285639,2168186.0,66.66
LT,EQ,2024-12-04,3787.05,3775.0,3835.0,3758.05,3805.00,3789.9,3799.10,2510166,9536368353.35,178083,1514629.0,60.34
LT,EQ,2024-12-05,3789.90,3810.0,3884.0,3760.0,3828.00,3831.55,3824.55,2765170,10575533572.8,211606,1284366.0,46.45
LT,EQ,2024-12-06,3831.55,3832.0,3883.95,3800.0,3861.20,3866.7,3856.47,1856562,7159770118.0,147414,1073408.0,57.82
LT,EQ,2024-12-09,3866.70,3867.5,3959.0,3867.5,3954.75,3947.3,3938.78,3332753,13126969162.15,214643,1938046.0,58.15
LT,EQ,2024-12-10,3947.30,3955.0,3963.5,3901.3,3922.95,3923.15,3927.94,2349493,9228665089.7,131218,1661742.0,70.73
LT,EQ,2024-12-11,3923.15,3923.15,3947.65,3902.0,3913.15,3916.75,3920.30,1237958,4853162175.95,133277,833110.0,67.3
LT,EQ,2024-12-12,3916.75,3930.0,3959.0,3846.95,3863.20,3859.9,3867.89,1899867,7348471534.05,169801,1227602.0,64.62
LT,EQ,2024-12-13,3859.90,3859.0,3898.0,3794.2,3889.25,3887.0,3852.29,2300361,8861656006.6,166323,1002507.0,43.58
LT,EQ,2024-12-16,3887.00,3882.0,3914.4,3857.25,3872.30,3877.85,3877.81,918660,3562389173.3,81821,521166.0,56.73
LT,EQ,2024-12-17,3877.85,3863.05,3875.4,3797.0,3802.95,3807.2,3818.67,1690180,6454242086.4,116461,1127973.0,66.74
LT,EQ,2024-12-18,3807.20,3807.2,3819.0,3745.0,3760.40,3758.15,3763.15,1318341,4961115143.3,120658,784839.0,59.53
LT,EQ,2024-12-19,3758.15,3702.15,3762.2,3700.0,3713.15,3716.35,3724.67,1856838,6916114961.4,142412,1229869.0,66.23
LT,EQ,2024-12-20,3716.35,3716.35,3725.0,3607.1,3629.00,3629.85,3654.85,2796593,10221132562.15,154712,1588176.0,56.79
LT,EQ,2024-12-23,3629.85,3670.0,3700.0,3617.05,3642.90,3640.5,3644.90,1217612,4438075173.95,107539,585248.0,48.07
LT,EQ,2024-12-24,3640.50,3647.95,3679.0,3632.4,3633.00,3639.75,3651.50,627922,2292860072.1,71920,316352.0,50.38
LT,EQ,2024-12-26,3639.75,3658.0,3665.15,3610.35,3632.40,3629.5,3634.04,1124705,4087219624.3,80516,683487.0,60.77
LT,EQ,2024-12-27,3629.50,3632.4,3643.65,3603.5,3610.65,3608.1,3617.13,1309122,4735258789.05,75927,921459.0,70.39
LT,EQ,2024-12-30,3608.10,3607.9,3623.0,3566.0,3590.00,3578.95,3590.43,1591690,5714856382.3,99927,1057495.0,66.44
LT,EQ,2024-12-31,3578.95,3562.55,3620.6,3550.0,3609.95,3607.65,3593.79,1267628,4555587428.95,98165,807113.0,63.67
LT,EQ,2025-01-01,3607.65,3600.0,3689.0,3599.95,3670.10,3667.5,3660.22,1202029,4399695427.05,92010,496316.0,41.29
LT,EQ,2025-01-02,3667.50,3676.6,3724.1,3650.05,3706.80,3713.5,3701.57,1882900,6969687399.55,119634,1173346.0,62.32
LT,EQ,2025-01-03,3713.50,3708.0,3719.9,3651.45,3660.00,3659.9,3679.46,1290107,4746891680.45,104812,669753.0,51.91
LT,EQ,2025-01-06,3659.90,3684.75,3692.25,3585.5,3607.15,3603.2,3626.01,1212012,4394771181.95,131815,665041.0,54.87
LT,EQ,2025-01-07,3603.20,3607.1,3649.85,3595.7,3640.10,3643.3,3623.73,1453540,5267240240.4,110429,830053.0,57.11
LT,EQ,2025-01-08,3643.30,3662.0,3663.85,3590.0,3596.50,3596.35,3612.93,1813201,6550964744.05,147106,1096791.0,60.49
LT,EQ,2025-01-09,3596.35,3599.9,3606.3,3486.0,3535.00,3527.9,3526.53,2921681,10303398615.25,231251,1739651.0,59.54
LT,EQ,2025-01-10,3527.90,3499.95,3552.2,3492.3,3542.00,3536.15,3527.93,1794238,6329954565.2,113478,1161297.0,64.72
LT,EQ,2025-01-13,3536.15,3505.55,3534.5,3448.6,3470.00,3464.3,3492.05,2137212,7463255880.3,134759,1446498.0,67.68
LT,EQ,2025-01-14,3464.30,3465.85,3491.95,3448.6,3465.00,3462.6,3467.21,2924491,10139829760.7,176125,2138494.0,73.12
LT,EQ,2025-01-15,3462.60,3471.3,3526.15,3471.3,3505.70,3501.4,3500.92,1155446,4045128629.7,116492,680328.0,58.88
LT,EQ,2025-01-16,3501.40,3535.0,3543.45,3483.75,3515.00,3507.9,3513.22,2305460,8099590396.0,152224,1331865.0,57.77
LT,EQ,2025-01-17,3507.90,3524.0,3579.85,3511.95,3570.85,3568.65,3555.86,1600246,5690244161.85,126909,948080.0,59.25
LT,EQ,2025-01-20,3568.65,3574.9,3617.15,3556.5,3588.90,3593.0,3585.81,1593334,5713398004.8,117677,984770.0,61.81
LT,EQ,2025-01-21,3593.00,3612.75,3643.3,3528.1,3553.00,3541.1,3581.60,2576596,9228331774.35,177605,1228188.0,47.67
LT,EQ,2025-01-22,3541.10,3563.0,3582.35,3490.1,3520.80,3518.2,3521.51,1626055,5726173067.1,118201,992123.0,61.01
LT,EQ,2025-01-23,3518.20,3492.0,3527.8,3460.6,3504.85,3503.25,3501.30,1993204,6978796103.15,126865,1082618.0,54.32
LT,EQ,2025-01-24,3503.25,3514.5,3521.1,3446.05,3459.80,3458.2,3480.76,1206454,4199371221.4,91930,703021.0,58.27
LT,EQ,2025-01-27,3458.20,3447.2,3493.9,3401.15,3472.90,3457.65,3446.21,1552938,5351754018.2,110592,785618.0,50.59
LT,EQ,2025-01-28,3457.65,3464.95,3482.15,3404.05,3423.45,3413.9,3436.05,1657689,5695903565.45,154969,837092.0,50.5
LT,EQ,2025-01-29,3413.90,3431.0,3455.0,3412.0,3448.90,3449.7,3437.37,1238704,4257884243.7,103001,708307.0,57.18
LT,EQ,2025-01-30,3449.70,3455.0,3517.8,3395.0,3432.50,3420.95,3438.04,2717740,9343690877.75,180276,1401632.0,51.57
LT,EQ,2025-01-31,3420.95,3501.05,3590.0,3481.05,3564.00,3567.4,3555.03,3995513,14204181890.25,217688,1686791.0,42.22
LT,EQ,2025-02-01,3567.40,3578.0,3629.2,3402.0,3458.25,3447.5,3473.36,4752505,16507148387.25,265997,2206095.0,46.42
LT,EQ,2025-02-03,3447.50,3420.0,3420.0,3270.0,3285.95,3289.2,3300.78,6077580,20060746789.85,393333,4171335.0,68.63
LT,EQ,2025-02-04,3289.20,3316.0,3449.0,3307.25,3427.10,3439.15,3410.23,4742516,16173066528.3,305987,2809172.0,59.23
LT,EQ,2025-02-05,3439.15,3444.65,3450.95,3379.45,3386.45,3383.2,3415.32,2670316,9119976072.0,184191,1864522.0,69.82
LT,EQ,2025-02-06,3383.20,3404.0,3404.0,3342.7,3355.90,3352.75,3359.70,2874856,9658666091.1,166262,1895899.0,65.95
LT,EQ,2025-02-07,3352.75,3367.0,3369.95,3311.1,3330.00,3336.9,3340.69,1722789,5755303413.2,137338,1078126.0,62.58
LT,EQ,2025-02-10,3336.90,3347.8,3349.0,3294.05,3324.30,3328.65,3315.61,1236663,4100291228.3,88934,756828.0,61.2
LT,EQ,2025-02-11,3328.65,3360.95,3361.0,3231.0,3247.00,3239.65,3263.98,2593537,8465250358.55,145087,1653752.0,63.76
LT,EQ,2025-02-12,3239.65,3259.0,3300.0,3222.25,3292.00,3289.65,3268.46,1632415,5335487216.0,138219,838565.0,51.37
LT,EQ,2025-02-13,3289.65,3289.65,3314.9,3252.95,3255.00,3263.65,3277.74,2127644,6973855847.1,156667,1225352.0,57.59
LT,EQ,2025-02-14,3263.65,3275.05,3285.8,3221.55,3231.05,3237.65,3246.05,1378340,4474159814.5,125280,868058.0,62.98
LT,EQ,2025-02-17,3237.65,3213.55,3239.4,3194.55,3222.00,3221.85,3217.09,1966689,6327017871.4,142527,1292641.0,65.73
LT,EQ,2025-02-18,3221.85,3227.0,3241.0,3183.0,3220.00,3220.15,3213.88,2428215,7803995072.7,107311,1674200.0,68.95
LT,EQ,2025-02-19,3220.15,3220.15,3302.85,3211.6,3268.95,3275.9,3269.60,1677978,5486325100.05,144994,914338.0,54.49
LT,EQ,2025-02-20,3275.90,3260.05,3285.45,3247.75,3275.55,3275.8,3274.46,1236693,4049500999.0,93085,735617.0,59.48
LT,EQ,2025-02-21,3275.80,3275.8,3324.9,3270.9,3315.50,3315.1,3306.08,1706850,5642987960.8,113093,1024169.0,60.0
LT,EQ,2025-02-24,3315.10,3289.7,3325.5,3250.0,3251.00,3257.7,3289.89,1512844,4977086569.6,162651,940378.0,62.16
LT,EQ,2025-02-25,3257.70,3233.0,3248.95,3206.4,3229.00,3225.9,3227.37,2529084,8162286346.25,133515,1610923.0,63.7
LT,EQ,2025-02-27,3225.90,3238.0,3258.5,3184.0,3210.00,3209.5,3209.83,2572065,8255891425.4,132651,1740649.0,67.68
LT,EQ,2025-02-28,3209.50,3199.8,3199.8,3141.0,3170.00,3163.85,3168.50,2494680,7904404674.55,175923,1577446.0,63.23
LT,EQ,2025-03-03,3163.85,3165.95,3227.0,3160.0,3198.20,3197.3,3195.59,1352460,4321913462.85,132374,752673.0,55.65
LT,EQ,2025-03-04,3197.30,3171.05,3221.0,3167.8,3211.00,3213.0,3203.15,1442098,4619256245.9,93358,930531.0,64.53
LT,EQ,2025-03-05,3213.00,3213.0,3245.0,3187.85,3243.00,3239.65,3226.60,1945855,6278501228.35,134346,1203196.0,61.83
LT,EQ,2025-03-06,3239.65,3250.1,3266.45,3215.0,3258.00,3259.9,3247.81,1854837,6024166642.7,134338,924111.0,49.82
LT,EQ,2025-03-07,3259.90,3259.9,3289.0,3240.1,3246.00,3244.7,3257.65,930240,3030394882.8,96014,533770.0,57.38
LT,EQ,2025-03-10,3244.70,3246.0,3246.3,3169.05,3177.80,3177.7,3201.45,1777752,5691390324.1,106319,1069491.0,60.16
LT,EQ,2025-03-11,3177.70,3170.3,3204.4,3161.1,3203.80,3195.45,3184.34,1274649,4058918929.95,81156,671406.0,52.67
LT,EQ,2025-03-12,3195.45,3205.0,3221.95,3153.05,3190.00,3193.65,3180.42,1360149,4325851450.4,78130,824697.0,60.63
