Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
2015-11-16,7856.5498046875,7906.9501953125,7725.0498046875,7848.75,573100
2015-11-23,7942.7001953125,7959.2998046875,7812.64990234375,7869.5,627700
2015-11-30,7781.89990234375,7979.2998046875,7775.7001953125,7936.25,759400
2015-12-07,7610.4501953125,7825.39990234375,7575.2998046875,7816.5498046875,721300
2015-12-14,7761.9501953125,7852.89990234375,7551.0498046875,7558.2001953125,804800
2015-12-21,7861.0498046875,7888.75,7733.4501953125,7745.64990234375,463400
2015-12-28,7946.35009765625,7955.5498046875,7863.0,7863.2001953125,493600
2016-01-04,7601.35009765625,7937.5498046875,7556.60009765625,7924.5498046875,773300
2016-01-11,7437.7998046875,7605.10009765625,7425.7998046875,7527.4501953125,966400
2016-01-18,7422.4501953125,7470.89990234375,7241.5,7420.35009765625,1117400
2016-01-25,7563.5498046875,7575.64990234375,7402.7998046875,7468.75,924000
2016-02-01,7489.10009765625,7600.4501953125,7350.2998046875,7589.5,1095100
2016-02-08,6980.9501953125,7512.5498046875,6869.0,7489.7001953125,1256700
2016-02-15,7210.75,7226.85009765625,6960.64990234375,7057.35009765625,1307000
2016-02-22,7029.75,7252.39990234375,6961.39990234375,7208.85009765625,1038300
2016-02-29,7485.35009765625,7505.89990234375,6825.7998046875,7050.4501953125,1647300
2016-03-07,7510.2001953125,7547.10009765625,7424.2998046875,7486.39990234375,925500
2016-03-14,7604.35009765625,7613.60009765625,7405.14990234375,7542.60009765625,1033000
2016-03-21,7716.5,7728.2001953125,7617.7001953125,7619.2001953125,605300
2016-03-28,7713.0498046875,7777.60009765625,7582.25,7741.0,1255800
2016-04-04,7555.2001953125,7764.4501953125,7526.7001953125,7733.14990234375,902700
2016-04-11,7850.4501953125,7864.7998046875,7516.85009765625,7577.7998046875,563600
2016-04-18,7899.2998046875,7978.4501953125,7842.75,7908.14990234375,796900
2016-04-25,7849.7998046875,7992.0,7788.7001953125,7894.7998046875,1091700
2016-05-02,7733.4501953125,7890.25,7678.35009765625,7822.7001953125,881200
2016-05-09,7814.89990234375,7916.0498046875,7753.5498046875,7755.25,868900
2016-05-16,7749.7001953125,7940.10009765625,7735.75,7831.2001953125,872400
2016-05-23,8156.64990234375,8164.2001953125,7715.7998046875,7813.9501953125,1020400
2016-05-30,8220.7998046875,8262.0,8134.2998046875,8166.5,1473500
2016-06-06,8170.0498046875,8294.9501953125,8162.85009765625,8228.75,944900
2016-06-13,8170.2001953125,8213.2001953125,8063.89990234375,8102.25,840800
2016-06-20,8088.60009765625,8285.599609375,7927.0498046875,8115.75,893400
2016-06-27,8328.349609375,8356.75,8039.35009765625,8039.35009765625,924800
2016-07-04,8323.2001953125,8398.4501953125,8287.5498046875,8376.75,586600
2016-07-11,8541.400390625,8594.7998046875,8407.0498046875,8413.349609375,904500
2016-07-18,8541.2001953125,8587.099609375,8476.7001953125,8564.0498046875,785700
2016-07-25,8638.5,8674.7001953125,8517.2001953125,8519.9501953125,879400
